Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
Cocoon,7.32,845,6268,2993,18,Finished,[Josei]
Wasureyuki,7.32,2443,4636,4186,17,Finished,[Shoujo]
Girls & Panzer: Little Army (Girls and Panzer: Little Army),7.32,1472,5995,3139,52,Finished,[Seinen]
Abide in the Wind,7.32,1192,3960,5009,55,Finished,[]
Hinatama,7.32,1596,5339,3578,23,Finished,[Shoujo]
Latin,7.32,634,9895,1714,14,Finished,[]
Kimi ni Koishite Ii desu ka. (May I be in love with you?),7.32,5289,1431,13343,43,Finished,[Shoujo]
Marin to Yuurei,7.32,747,9471,1803,1,Finished,[Shoujo]
Shuuten Unknown,7.32,180,20449,564,5,Finished,[Josei]
Hadi Girl,7.32,5460,1561,12457,131,Finished,[]
Tantei Xeno to Nanatsu no Satsujin Misshitsu (Detective Xeno and the Seven Locked Murder Rooms),7.32,403,10157,1653,10,Finished,[Shounen]
Super Danganronpa 2: Sayonara Zetsubou Gakuen (Danganronpa 2: Goodbye Despair),7.32,423,11345,1413,14,On Hiatus,[]
Liv,7.32,2529,4420,4405,75,Finished,[]
Amakunai Karera no Nichijou wa. (Those Not-So-Sweet Boys),7.32,1182,4474,4355,56,Finished,[Shoujo]
Guyabano Holiday,7.32,164,22921,454,5,Finished,[Josei]
Hataraku Saibou Baby (Cells at Work: Baby!),7.32,209,13522,1105,10,Finished,[Seinen]
Spectral Wizard,7.32,257,18196,692,21,Finished,[]
"Food Court de, Mata Ashita. (See You Tomorrow at the Food Court)",7.32,695,6822,2715,25,Publishing,[]
Ame demo Hare demo (Come Rain or Shine),7.32,1030,6888,2686,25,Finished,[]
Romantic Killer,7.32,1127,3229,6176,84,Finished,[Shounen]
Goukaku no Tame no! Yasashii Sankaku Kankei Nyuumon (An Introduction to Easy Triangle Relationships.),7.32,1626,5464,3494,40,Finished,[Seinen]
Warui ga Watashi wa Yuri ja Nai,7.32,780,6655,2804,39,Publishing,[]
Seikyouiku 120% (Sex Ed 120%),7.32,393,10827,1510,16,Finished,[]
Magicraft Meister,7.32,246,13334,1127,7,Publishing,[]
Fujimi Lovers (Undead Lovers),7.32,2962,2510,7832,135,Finished,[Shounen]
Outer Zone,7.32,124,21135,530,2,Finished,[Shounen]
Setsuna Graffiti (Graffiti in the Moment),7.32,601,8376,2114,29,Finished,[Shoujo]
Watashi no Ookami-kun (That Wolf-Boy Is Mine!),7.32,10052,715,24363,161,Finished,[Shoujo]
Trace 1.5: Communicator,7.32,505,12953,1173,12,Finished,[]
Sayuri-san no Imouto wa Tenshi,7.32,1931,4183,4716,39,Finished,[Seinen]
Kamisama Hajimemashita: Kurama-yama Yawa,7.32,177,12924,1176,12,Finished,[Shoujo]
Hundred,7.31,452,6779,2738,31,Finished,[]
Keijo!!!!!!!!,7.31,3664,1475,12993,268,Finished,[Shounen]
Log Horizon: Nishikaze no Ryodan (Log Horizon: The West Wind Brigade),7.31,734,6468,2898,23,Finished,[]
Hikidashi ni Terrarium (Terrarium in Drawer),7.31,694,8668,2019,7,Finished,[]
Kurokouchi,7.31,252,11981,1308,9,Finished,[Seinen]
Musaigen no Phantom World (Myriad Colors Phantom World),7.31,213,6864,2696,25,Finished,[]
Grisaia no Kajitsu: L'Oiseau bleu,7.31,360,10175,1648,16,Finished,[Shounen]
Shiyakusho,7.31,287,10682,1540,6,Publishing,[Seinen]
Asebi to Sora Sekai no Boukensha (Asebi and Adventurers of Sky World),7.31,1141,5817,3251,30,Finished,[Seinen]
Hanebado!,7.31,1468,3588,5529,90,Finished,[Seinen]
Shinyaku Toaru Majutsu no Index SS,7.31,397,12288,1270,13,Finished,[]
Koisaku Potager (Fall in Love in the Potager),7.31,666,11531,1383,1,Finished,[]
Nanba MG5,7.31,752,7268,2523,25,Finished,[Shounen]
Zenikko,7.31,168,20188,579,4,Finished,[Shounen]
Soumatou Kabushikigaisha,7.31,320,13131,1152,12,Finished,[Seinen]
Isekai Maou to Shoukan Shoujo no Dorei Majutsu (How NOT to Summon a Demon Lord),7.31,2160,2127,9120,142,Publishing,[]
Frau Faust,7.31,887,4821,4007,51,Finished,[Josei]
Kawa ni Sazanami,7.31,123,21246,525,5,Publishing,[]
Kedamono Arashi: Hug Me Baby! (BeastS Storm: Hug Me Baby!),7.31,364,16450,816,0,Finished,[]
"Omae, Tanuki ni Naranee ka? (Would You like to Be a Tanuki?)",7.31,165,14944,953,10,Publishing,[]
Henyoku no Drops (Drops of One Wing),7.31,168,19106,638,5,Finished,[Shoujo]
Otaku ni Yasashii Gal wa Inai!? (Gal Cant be Kind to Otaku!?),7.31,539,6555,2859,9,Publishing,[Seinen]
Daily JoJo,7.31,131,24096,412,2,Publishing,[]
I Was Tricked Into This Fake Marriage!,7.31,1256,5498,3473,29,Finished,[]
After the Curtain Call,7.31,200,21397,519,5,Finished,[]
No Longer a Heroine!,7.31,444,15001,947,9,Finished,[]
An Hour of Romance,7.31,183,16867,786,6,Publishing,[]
The Strongest Characters in the World Are Obsessed with Me (The Most Powerful Characters in the World Are Obsessed with Me),7.31,605,6804,2727,9,Publishing,[]
Oshi ni Amagami,7.31,112,13011,1166,6,Publishing,[Shoujo]
The Tyrant Wants to Be Good,7.31,619,7546,2409,18,Publishing,[]
Tenshi no Kiss (Forbidden Dance),7.31,888,9145,1883,11,Finished,[Shoujo]
Heaven!!,7.31,1171,6728,2767,12,Finished,[Shoujo]
Oretama,7.31,16883,513,33223,630,Finished,[Seinen]
Model,7.31,2901,3172,6275,151,Finished,[]
Akuma no Ororon (The Demon Ororon),7.31,1485,5961,3159,141,Finished,[Shoujo]
Appleseed,7.31,2573,2085,9242,158,Finished,[]
Shoujo Kakumei Utena (Revolutionary Girl Utena),7.31,4886,1612,11949,285,Finished,[Shoujo]
Slayers: Knight of the Aqualord,7.31,610,11467,1393,10,Finished,[]
Zero no Tsukaima (ZeroS Familiar),7.31,4501,1658,11654,191,Finished,[Seinen]
Wanted,7.31,5795,1868,10189,54,Finished,[Shoujo]
Shin Shirayuki-hime Densetsu Pretear (PrÃ©tear: The New Legend of Snow White),7.31,2285,3949,5024,84,Finished,[Shoujo]
Dakedo Happy Paradise,7.31,1339,6781,2738,6,Finished,[Shoujo]
Confession,7.31,3102,3219,6198,51,Finished,[Seinen]
Ogawa to Yukai na Saitou-tachi,7.31,354,15084,939,6,Finished,[Shoujo]
Stray Little Devil,7.31,754,10070,1671,30,Finished,[Shounen]
Shokugyou Tenshi,7.31,436,15927,859,6,Finished,[]
Hatsukoi Shimai (First Love Sisters),7.31,1701,5314,3601,16,Finished,[]
Deep Love Virus,7.31,2280,4570,4261,16,Finished,[Shoujo]
Star Project Chiro (Chiro: The Star Project),7.31,514,9962,1696,12,Finished,[Shoujo]
Hakobune Hakusho (Animal Academy),7.31,533,10734,1528,33,Finished,[Shounen]
Aozora Pop,7.31,1321,5213,3685,26,Finished,[Shoujo]
Red Garden,7.31,994,6076,3092,67,Finished,[Seinen]
Freezing,7.31,16618,408,40518,"1,243",Publishing,[Seinen]
Front Mission: Dog Life & Dog Style,7.31,602,7793,2313,26,Finished,[Seinen]
Metro Survive (Metro Suvive),7.31,2053,4605,4224,16,Finished,[Seinen]
Matantei Loki Ragnarok (The Mythical Detective Loki Ragnarok),7.31,789,7839,2300,32,Finished,[Shounen]
The Change!,7.31,322,16465,815,8,Finished,[Shoujo]
Fire Emblem: Hasha no Tsurugi,7.31,959,7828,2303,36,Finished,[Shounen]
Mayonaka no Ariadne,7.31,660,9429,1817,9,Finished,[Shoujo]
Akage no Anne (Anne of Green Gables),7.31,562,10455,1586,12,Finished,[Shoujo]
Junaiâ˜…Sensation,7.31,518,10469,1583,16,Finished,[Shoujo]
Shiro no Keiyaku,7.31,1892,5842,3234,2,Finished,[Shoujo]
Hoshiyomi no Yogensha,7.31,840,10161,1652,4,Finished,[Shoujo]
Boku kara Kimi ga Kienai,7.31,7778,1097,16512,94,Finished,[Shoujo]
Houkago no Oujisama,7.31,311,13156,1149,19,Publishing,[Shounen]
Dash! Kappei,7.31,173,23316,438,2,Finished,[]
Kimi wa Boku no Toriko Nare,7.31,786,7377,2476,7,Finished,[Shoujo]
Tetsunagi Kooni.,7.31,222,16043,849,5,On Hiatus,[Shounen]
Alexandrite,7.31,218,17629,728,3,Finished,[Shoujo]
Nononono,7.31,3824,2463,7984,120,Finished,[Seinen]
Shouri no Akuma (Devil of the Victory),7.31,2383,3683,5391,34,Finished,[Shoujo]
Kidou Senshi Gundam 00I,7.31,151,19522,615,3,Finished,[Shounen]
Tenkyuugi: Sephirahnatus,7.31,437,10162,1652,6,Finished,[Josei]
Zero,7.31,1279,5512,3466,32,Finished,[Seinen]
Cahe Tantei-bu (Cafe detective club),7.31,244,13981,1055,9,Finished,[]
Hidan no Aria (Aria the Scarlet Ammo),7.31,2746,2047,9347,55,Publishing,[Seinen]
Shiota-sensei to Amai-chan,7.31,1025,4356,4474,30,Publishing,[]
"Wakabaryou de, Kimi to",7.31,2140,4598,4233,9,Finished,[]
Tenohira Size.,7.31,558,12571,1230,2,Finished,[Josei]
Touken Ranbu Online Anthology Comic: Touken Danshi Makuaigeki,7.31,260,13611,1096,15,Finished,[]
Maou-sama no Machizukuri!: Saikyou no Dungeon wa Kindai Toshi (The Devil is Making City),7.31,379,8764,1991,20,Publishing,[]
Rojiura Kurashi,7.31,276,10983,1478,25,Finished,[]
Warera Contactee,7.31,125,19328,626,4,Finished,[Seinen]
Fate/Grand Order: Turas RÃ©alta,7.31,455,8442,2092,29,Publishing,[Shounen]
Yari no Yuusha no Yarinaoshi (The Reprise of the Spear Hero),7.31,260,11141,1447,22,Publishing,[]
Nozomanu Fushi no Boukensha (The Unwanted Undead Adventurer),7.31,602,7155,2566,32,Publishing,[]
Mejirobana no Saku (A White Rose in Bloom),7.31,383,7067,2603,23,Publishing,[Josei]
Kami-tachi ni Hirowareta Otoko (By the Grace of the Gods),7.31,4524,1321,14334,131,Publishing,[]
Youjo Senki Shokudou,7.31,428,10442,1588,11,Finished,[]
Torso no Bokura (Our Torsos Align: Human x Monster Love),7.31,113,24815,389,3,Finished,[]
Azur Lane: Bisoku Zenshin!,7.31,480,9305,1844,43,Publishing,[]
Housekishou Richard-shi no Nazo Kantei (The Case Files of Jeweler Richard),7.31,132,13419,1116,23,Publishing,[Josei]
JK kara Yarinaosu Silver Plan (Silver Plan to Redo From JK),7.31,640,7541,2412,23,Publishing,[Seinen]
Tensei shitara Akari dake Slime Datta Ken,7.31,138,20097,583,43,Publishing,[]
Penguin Highway,7.31,122,18785,657,10,Finished,[]
Kijima-san to Yamada-san (Kijima-san & Yamada-san),7.31,1132,4648,4175,15,Publishing,[]
Jiisan Baasan Wakagaeru,7.31,2664,2138,9077,47,Publishing,[]
Ore no Imouto ga Konnani Kawaii Wake ga Nai: Ayase If,7.31,260,14732,973,13,Finished,[Shounen]
Kimi ni Tsumugu Bouhaku (Monologue Woven for You),7.31,789,7042,2614,31,Finished,[]
Maji de Tsukiau 15-funmae (15 Minutes Before We Really Date),7.31,1505,4111,4801,13,Finished,[]
Nanami Minami wa Kagayakitai: Jaku-Chara Tomozaki-kun Gaiden (Minami Nanami Wants to Shine),7.31,160,13560,1101,5,Publishing,[Seinen]
Daifuku-chan to Ouji-sama,7.31,358,9659,1760,8,Publishing,[Shoujo]
Zettai ni Furo ni Hairitakunai Kanojo vs Zettai ni Furo ni Iretai Kareshi,7.31,2030,4093,4830,26,Finished,[Shounen]
Murazukuri Game no NPC ga Namami no Ningen to shika Omoenai (The NPCs in this Village Sim Game Must Be Real!),7.31,128,25599,364,16,Finished,[]
Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai (Medaka Kuroiwa Is Impervious to My Charms),7.31,9576,567,29898,312,Publishing,[Shounen]
Hone Dragon no Mana Musume (The Skull DragonS Precious Daughter),7.31,304,11158,1444,9,Publishing,[]
Umi no Triton (Triton of the Sea),7.31,292,17171,761,6,Finished,[Shounen]
im Looking for the Princess,7.31,484,13335,1127,5,Finished,[]
My Boyfriend Is a Vampire,7.31,3046,3146,6314,74,Finished,[Shoujo]
Mashiro no Oto (Those Snow White Notes),7.31,181,8264,2154,11,Finished,[Shounen]
Kimi ni Ageru. (I Give to You),7.31,394,11433,1399,11,Finished,[]
Kamisama no Memochou,7.31,440,7892,2279,8,Finished,[]
Konohanatei Kitan,7.31,665,7835,2301,15,Finished,[]
Hanasaku Iroha,7.31,636,6524,2874,6,Finished,[Shounen]
Evangelion: ANIMA (Neon Genesis Evangelion: ANIMA),7.31,522,5672,3350,42,Finished,[]
Dark Air,7.31,1765,3495,5694,32,Finished,[Shounen]
Miss Princess!,7.31,203,17313,751,4,Finished,[Shoujo]
Tanteiken Sherdock (Sherlock Bones),7.31,547,10501,1578,29,Finished,[Shounen]
Doko e mo Yukenai Ki ga Shiteta,7.31,268,16055,848,0,On Hiatus,[]
Hori-san to Miyamura-kun Omake,7.31,113,11479,1392,8,Finished,[]
Toaru Kagaku no Railgun: Giten Railgun (Pseudepigraph Railgun),7.31,308,13432,1115,5,Finished,[]
Kijitora Neko no Koume-san (Plum Crazy! Tales of A Tiger-Striped Cat),7.31,214,18013,703,15,Publishing,[]
Toaru Majutsu no Index: Road to Endymion,7.31,501,10947,1483,2,Finished,[Shounen]
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,7.31,155,10394,1602,9,Finished,[]
Bakusou Kyoudai LetS & Go!! MAX,7.3,117,31191,231,1,Finished,['Kids']
Shousetsu Mugen no Juunin: Ninjuu Ibun (Blade of the Immortal: Legend of the Sword Demon),7.3,232,12902,1180,8,Finished,[Seinen]
Bambino! Secondo,7.3,730,7640,2370,6,Finished,[Seinen]
I Will Be Cinderella (Becoming Cinderella),7.3,450,11659,1360,8,Finished,[Shoujo]
Working Holiday,7.3,185,24401,402,2,Finished,[Shoujo]
Nobara no Hanayome,7.3,2654,2932,6776,20,Finished,[Shoujo]
Maji de Watashi ni Koi Shinasai!,7.3,2901,2393,8178,55,Finished,[Shounen]
Mardock Scramble,7.3,814,3985,4977,42,Finished,[Shounen]
Ilegenes: Giyoku no Koukyoukyoku,7.3,509,8064,2220,7,Finished,[Shoujo]
Bokura no Himitsu wo Kyouyuu Shiyou ka,7.3,3425,2817,7036,15,Finished,[Shoujo]
Kidou Senshi Z Gundam Define,7.3,106,21586,511,4,Publishing,[Shounen]
Dounyatsu (Donyatsu),7.3,624,7895,2277,39,Publishing,[Seinen]
S.I.D.,7.3,902,5220,3677,25,Finished,[]
Kujaku no Kyoushitsu,7.3,825,7957,2256,7,Finished,[Shoujo]
Oddman 11,7.3,2298,2850,6953,89,Finished,[]
Koi Kyokusei,7.3,387,16474,815,3,Finished,[Shoujo]
Renai Boukun,7.3,7871,716,24215,227,Finished,[]
Hibari no Asa,7.3,838,6644,2815,30,Finished,[Josei]
Daisy: 3.11 Joshikousei-tachi no Sentaku,7.3,216,20592,557,8,Finished,[Shoujo]
Arslan Senki,7.3,207,12684,1212,11,Finished,[Shoujo]
Peach Girl,7.3,6782,1286,14594,470,Finished,[Shoujo]
Yo no Na wa Zushio (My Name is Zusio),7.3,428,13938,1060,18,Finished,[Shounen]
Eagle (Eagle: The Making of an Asian-American President),7.3,325,11906,1318,11,Finished,[Seinen]
Vampire Miyu (Vampire Princess Miyu),7.3,1190,5490,3476,80,Finished,[Shoujo]
Good Morning Call,7.3,4850,1751,10966,98,Finished,[Shoujo]
Kenkou Zenrakei Suieibu Umishou,7.3,2096,3848,5156,33,Finished,[Shounen]
Dororo,7.3,6350,1123,16071,273,Finished,[Shounen]
Aiki,7.3,10260,870,20165,270,Finished,[Seinen]
Tsubasa wo Motsu Mono (Tsubasa: Those With Wings),7.3,903,7443,2452,40,Finished,[Shoujo]
Mr. Fullswing,7.3,628,9155,1882,27,Finished,[Shounen]
Gaki no Koro kara,7.3,1085,9459,1807,0,Finished,[Seinen]
Ryuu no Hanawazurai (Two Flowers for the Dragon),7.3,863,7504,2425,17,Finished,[Shoujo]
Shin Vampire Miyu (New Vampire Princess Miyu),7.3,492,9918,1706,17,Finished,[Shoujo]
Aa! Megami-sama!: First End (Oh My Goddess! First End),7.3,234,16493,813,7,Finished,[]
Full House,7.3,622,8438,2095,14,Finished,[Josei]
Shura no Mon,7.3,216,17821,716,8,Finished,[Shounen]
Dragon Quest Retsuden: Roto no Monshou (Emblem of Roto),7.3,495,12070,1296,16,Finished,[Shounen]
Hanasakeru Seishounen,7.3,255,11051,1464,9,Finished,[Shoujo]
Ochanigosu. (A Badboy Drinks Tea!),7.3,2915,2525,7784,40,Finished,[Shounen]
Dan Doh!!,7.3,170,21503,514,5,Finished,[Shounen]
Butterfly Kiss,7.3,573,10330,1615,3,Finished,[Shoujo]
Blood+ Russian Rose,7.3,182,15304,919,7,Finished,[]
Innocence: After the Long Goodbye (Ghost in the Shell 2: Innocence - After the Long Goodbye),7.3,181,13631,1094,12,Finished,[]
I-Revo: Ice Revolution,7.3,2988,3228,6180,32,Finished,[Shounen]
Take Over Zone,7.3,1006,9212,1870,1,Finished,[]
Bloody Cross,7.3,2673,1936,9870,142,Finished,[Shounen]
Inu wo Kau,7.3,1111,7711,2344,11,Finished,[Seinen]
One Piece: Mugiwara Daigekijou,7.3,1335,5279,3632,28,Finished,[Shounen]
Muv-Luv Alternative: Total Eclipse,7.3,203,11916,1316,10,Finished,[Seinen]
Kodomo no Jikan: Houkago,7.3,708,8880,1954,18,Finished,[]
Ippo,7.3,200,14613,987,3,Finished,[Seinen]
Sekai Oni,7.3,4925,1243,14982,250,Finished,[]
Yowamushi Pedal: Spare Bike,7.3,165,15107,937,7,Publishing,[Shounen]
Fate/Prototype: Sougin no Fragments,7.3,311,8596,2040,24,Finished,[]
Mokushiroku Alice,7.3,780,5959,3160,17,Finished,[Josei]
Girls & Panzer,7.3,128,16992,776,28,Finished,[]
Henshin Ganbou!,7.3,7168,1725,11137,87,Finished,[Shounen]
Gouhou Yuri Fuufu Hon,7.3,1138,5545,3445,22,Finished,[]
One Piece Party,7.3,1189,5474,3487,33,Finished,[Shounen]
I Love You yori Aishiteru,7.3,1875,4999,3857,25,Finished,[]
Yuâ˜†Giâ˜†Oh!,7.3,459,11943,1314,97,Finished,[Shounen]
"Yatara to Sasshi no Ii Ore wa, Dokuzetsu Kuudere Bishoujo no Chiisana Dere mo Minogasazu ni Guigui Iku (From Toxic Classmate to Girlfriend Goals)",7.3,230,11963,1310,17,Finished,[]
Make Heroine wo Katasetai!!,7.3,288,21064,533,1,Finished,[Shounen]
Kiss shitai Otoko,7.3,860,10773,1522,12,Finished,[Shounen]
Nine Peaks,7.3,389,8095,2211,13,Publishing,[Shounen]
Becoming the Monarch,7.3,953,5928,3186,14,Publishing,[]
The Gourmet Gamer,7.3,247,14764,970,7,Publishing,[]
"Kono Koi, Chaban ni Tsuki!? (Matcha Made in Heaven)",7.3,255,11119,1451,12,Publishing,[Josei]
Saihate no Tomodachi (The Farthest Friend),7.3,213,23521,431,3,Finished,[]
Bu Keai de TA (She May Not Be Cute),7.3,161,25045,381,5,Finished,[]
Karakai Jouzu (?) no Nishikata-san,7.3,123,17847,715,3,Publishing,[Shounen]
Madoromi Barmaid (Sleepy Barmaid),7.3,531,7358,2484,21,Publishing,[Seinen]
Kyoto Teramachi Sanjou no Holmes (Holmes of Kyoto),7.3,143,13087,1157,15,Publishing,[]
Seijo no Maryoku wa Bannou desu (The SaintS Magic Power Is Omnipotent),7.3,2666,1860,10224,75,Publishing,[]
Manga de Yomu Jinsei ga Tokimeku Katazuke no Mahou (The Life-Changing Manga of Tidying Up: A Magical Story),7.3,393,16187,837,13,Finished,[]
Cotton Candy,7.3,432,14068,1046,8,Finished,[]
JK to Sutego no Akachan (JK & the foundling),7.3,1212,7572,2395,20,Finished,[]
Neko ga Nishi Mukya (When a Cat Faces West),7.3,685,7398,2468,8,Finished,[Seinen]
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta (My Daughter Left the Nest and Returned an S-Rank Adventurer),7.3,308,10908,1492,16,Finished,[]
Lessa,7.3,737,8513,2068,35,Finished,[]
Mikansei demo Koi ga Ii,7.3,1061,7011,2632,18,Finished,[Shoujo]
Mushoku Tensei: 4-koma ni Nattemo Honki Dasu,7.3,464,9220,1868,29,Finished,[Shounen]
Uchi no Kaisha no Chiisai Senpai no Hanashi (Story of a Small Senior in My Company),7.3,2162,1866,10196,35,Publishing,[]
Ii Fuufu no Hanashi,7.3,1266,3906,5079,26,Publishing,[]
Great Pretender,7.3,324,6688,2787,28,Discontinued,[]
Yakimochi wa Kitsuneiro (Fox-Colored Jealousy),7.3,1180,7868,2290,17,Finished,[]
Kimi wa Meido-sama. (You Are Ms. Servant.),7.3,2438,1962,9733,58,Publishing,[]
Mine-kun wa Non-Sexual (Mine-kun is Asexual),7.3,410,12096,1292,9,Finished,[]
A Shoulder to Cry On,7.31,560,11669,1358,21,Finished,[]
Sentai Daishikkaku (Go! Go! Loser Ranger!),7.3,3491,1131,16020,180,Publishing,[Shounen]
Leviathan,7.3,555,12665,1215,11,Finished,[]
Shiosai no Majo,7.3,266,16512,812,7,Finished,[]
Shin Honkaku Mahou Shoujo Risuka,7.3,196,10739,1528,5,Publishing,[Shounen]
Tobioriyou to Shiteiru Joshikousei wo Tasuketara Dou Naru no ka?,7.3,160,15059,942,6,Publishing,[]
Jigoku no Enra (Enra in Hell),7.3,4194,1723,11150,108,Finished,[Shoujo]
Isekai Tensei Soudouki (Multi-Mind Mayhem),7.3,4983,1201,15315,86,Publishing,[]
Otoko Ippiki Gaki Daishou,7.3,141,17086,767,8,Finished,[Shounen]
Tonari no Kyuuketsuki-san (Ms. Vampire who lives in my neighborhood.),7.3,682,4855,3973,32,Finished,[]
BadâˆžEndâˆžNight,7.3,123,20494,562,11,Finished,[]
Sora no Kiseki Gaiden: LÃ¶we Monogatari,7.3,158,26541,337,8,Finished,[]
Criminale!,7.3,8831,957,18456,217,Finished,[]
KnightS & Magic,7.3,2342,2749,7199,54,Finished,[Seinen]
Op: Yoake Itaru no Iro no Nai Hibi,7.3,219,13247,1138,4,Publishing,[Seinen]
Hone ga Kusaru made (Until Your Bones Rot),7.3,4138,1416,13465,158,Finished,[]
Koisuru Shirokuma (A Polar Bear in Love),7.3,483,8190,2179,31,Publishing,[Josei]
Isekai Yakkyoku (Parallel World Pharmacy),7.3,5242,1067,16905,91,Publishing,[]
Trinity Seven-san,7.3,238,12362,1261,7,Finished,[]
Madokaâ˜†Engawa,7.3,107,25301,373,5,Finished,[]
Sekai de Ichiban Warui Majo (The Worst Witch in the World),7.29,423,10364,1608,18,Finished,[Shoujo]
Slow Days,7.29,546,10230,1637,1,Finished,[]
Fate/kaleid liner Prismaâ˜†Illya,7.29,259,13364,1124,29,Finished,[]
Oounabara to Wadanohara (Wadanohara and the Great Blue Sea),7.29,946,7098,2593,155,Finished,[]
Trinity Seven: Levi Ninden,7.29,392,9304,1844,10,Finished,[Shounen]
Ubau Mono Ubawareru Mono (Bereave or Bereaved),7.29,542,7034,2618,34,Publishing,[]
Goshujinsama to Watashi,7.29,791,9707,1752,15,Finished,[]
Zero no Tsukaima Gaiden: Tabitha no Bouken,7.29,111,21079,532,1,Finished,[]
Rikei ga Koi ni Ochita no de Shoumei shitemita.,7.29,1960,1673,11539,78,Publishing,[]
Shinseiki Evangelion: Pikopiko Chuugakusei Densetsu (Neon Genesis Evangelion: Legend of the Piko Piko Middle School Students),7.29,280,12265,1273,13,Finished,[Seinen]
Totsugimasen kara!,7.29,1473,6424,2915,8,Finished,[]
Switch: the volume on Dragon Fruit,7.29,226,17485,739,0,Finished,[Josei]
Hitomi-sensei no Hokenshitsu (Nurse HitomiS Monster Infirmary),7.29,1510,2966,6701,79,Publishing,[Seinen]
Nisekoi: Urabana,7.29,271,9127,1888,15,Finished,[]
Kaze ga Tsuyoku Fuiteiru,7.29,208,10793,1518,14,Finished,[Seinen]
All Out!!,7.29,1047,4568,4264,63,Finished,[Seinen]
SK8RS,7.29,344,10022,1682,20,Finished,[Seinen]
Shingeki no Kyojin: Kakuzetsu Toshi no Joou (Attack on Titan: The Harsh Mistress of the City),7.29,1172,4067,4868,53,Finished,[]
Yeonae Hyeokmyeong,7.29,415,10873,1499,44,Publishing,[Shounen]
Nightmare Funk,7.29,474,10213,1641,19,Finished,[Shounen]
Pochi Kuro,7.29,3292,2170,8936,83,Finished,[Shounen]
Debusen,7.29,261,17994,705,6,Finished,[Seinen]
Choueki 339-nen,7.29,119,19995,589,6,Finished,[]
Mononoke: Umibouzu,7.29,122,14835,962,3,Finished,[Seinen]
Persona 4: The Ultimax Ultra Suplex Hold (Persona 4 Arena Ultimax),7.29,197,15756,874,13,Finished,[Seinen]
Grisaia no Rakuen: Sanctuary Fellows,7.29,345,9903,1712,10,Finished,[]
Tales of the Abyss: Senketsu no Asch,7.29,241,16292,828,10,Finished,[]
Kidou Senshi Gundam 00 2nd.Season (Mobile Suit Gundam 00 2nd Season),7.29,145,21993,493,2,Finished,[]
Momo Raba,7.29,1340,6947,2658,12,Finished,[Shoujo]
Gensou Suikoden II: Hiki Sakareshi Shukusei,7.29,121,25008,382,10,Finished,[Seinen]
MM!,7.29,652,6995,2640,14,Finished,[Seinen]
Captain Ken,7.29,167,22475,472,2,Finished,[Shounen]
Gokicha,7.29,1161,4677,4144,43,Finished,[]
Omoi no Kakera,7.29,1932,4139,4769,44,Finished,[Josei]
Sai x Ai,7.29,373,12048,1299,7,Finished,[Shoujo]
